Date,Open,High,Low,Close,Volume
26-May-17,10.85,10.94,10.81,10.93,28176454
25-May-17,10.96,10.97,10.76,10.86,46269245
24-May-17,11.06,11.06,10.87,10.96,46732734
23-May-17,11.16,11.16,10.97,11.05,40816647
22-May-17,11.11,11.13,10.98,11.10,73334997
19-May-17,10.81,10.94,10.79,10.87,32431694
18-May-17,10.73,10.82,10.70,10.79,37890811
17-May-17,10.88,10.95,10.67,10.76,54670105
16-May-17,11.06,11.07,10.90,10.94,42130215
15-May-17,10.96,11.03,10.92,10.94,27359494
12-May-17,11.00,11.03,10.90,10.92,34264277
11-May-17,11.04,11.07,10.97,11.01,29276286
10-May-17,11.16,11.20,11.03,11.04,34989254
9-May-17,11.14,11.26,11.10,11.16,44142864
8-May-17,11.18,11.24,11.09,11.13,35561764
5-May-17,11.01,11.16,10.98,11.14,28926001
4-May-17,11.09,11.11,10.96,11.00,34639754
3-May-17,10.92,11.09,10.91,11.07,57290560
2-May-17,11.30,11.37,10.90,10.92,99514739
1-May-17,11.49,11.54,11.40,11.42,32118379
28-Apr-17,11.51,11.51,11.40,11.47,41415145
27-Apr-17,11.66,11.68,11.34,11.47,50203741
26-Apr-17,11.47,11.70,11.45,11.60,51685768
25-Apr-17,11.47,11.50,11.43,11.48,35862521
24-Apr-17,11.48,11.50,11.36,11.43,41071326
21-Apr-17,11.46,11.48,11.32,11.34,26076186
20-Apr-17,11.25,11.50,11.24,11.47,49990191
19-Apr-17,11.19,11.28,11.17,11.19,37524445
18-Apr-17,11.15,11.18,11.08,11.14,35659989
17-Apr-17,11.22,11.30,11.14,11.28,44731735
13-Apr-17,11.22,11.25,11.11,11.11,32789905
12-Apr-17,11.27,11.30,11.20,11.23,56588425
11-Apr-17,11.27,11.28,11.17,11.28,36366316
10-Apr-17,11.26,11.35,11.24,11.25,25857108
7-Apr-17,11.26,11.31,11.21,11.23,28874909
6-Apr-17,11.27,11.36,11.22,11.27,36165281
5-Apr-17,11.48,11.50,11.25,11.26,43316140
4-Apr-17,11.38,11.48,11.28,11.37,40068175
3-Apr-17,11.64,11.64,11.28,11.44,65671114
31-Mar-17,11.66,11.68,11.60,11.64,26717520
30-Mar-17,11.67,11.74,11.61,11.68,28008241
29-Mar-17,11.73,11.76,11.64,11.68,35795737
28-Mar-17,11.51,11.80,11.48,11.65,57662806
27-Mar-17,11.51,11.55,11.41,11.46,57713419
24-Mar-17,11.66,11.76,11.55,11.62,43772442
23-Mar-17,11.57,11.75,11.50,11.67,71209260
22-Mar-17,11.78,11.83,11.62,11.77,71107861
21-Mar-17,12.30,12.32,11.70,11.72,101559879
20-Mar-17,12.48,12.49,12.25,12.28,45329650
17-Mar-17,12.74,12.74,12.45,12.48,54929115
16-Mar-17,12.65,12.72,12.59,12.70,28954694
15-Mar-17,12.56,12.65,12.52,12.65,34296197
14-Mar-17,12.51,12.56,12.45,12.55,26956658
13-Mar-17,12.56,12.63,12.50,12.54,22625831
10-Mar-17,12.55,12.63,12.47,12.53,34866054
9-Mar-17,12.54,12.54,12.40,12.50,29149095
8-Mar-17,12.50,12.64,12.46,12.53,27327834
7-Mar-17,12.51,12.52,12.42,12.46,25906933
6-Mar-17,12.58,12.60,12.50,12.52,28753623
3-Mar-17,12.66,12.71,12.53,12.65,30493532
2-Mar-17,12.72,12.74,12.58,12.66,33245050
1-Mar-17,12.66,12.75,12.65,12.69,36178588
28-Feb-17,12.63,12.66,12.45,12.53,36089848
27-Feb-17,12.49,12.68,12.43,12.66,41713096
24-Feb-17,12.51,12.51,12.38,12.47,40817305
23-Feb-17,12.70,12.72,12.55,12.56,22520597
22-Feb-17,12.66,12.76,12.65,12.67,24787512
21-Feb-17,12.61,12.72,12.61,12.69,29156181
17-Feb-17,12.50,12.58,12.42,12.58,26407405
16-Feb-17,12.61,12.64,12.48,12.54,22896525
15-Feb-17,12.62,12.64,12.55,12.63,25114438
14-Feb-17,12.64,12.70,12.59,12.65,28355725
13-Feb-17,12.54,12.62,12.48,12.56,24473996
10-Feb-17,12.44,12.51,12.37,12.51,32996465
9-Feb-17,12.40,12.47,12.35,12.38,32924624
8-Feb-17,12.34,12.45,12.27,12.38,26411417
7-Feb-17,12.50,12.52,12.31,12.34,32914413
6-Feb-17,12.55,12.62,12.46,12.52,26916768
3-Feb-17,12.42,12.62,12.39,12.56,38245251
2-Feb-17,12.30,12.37,12.23,12.28,29035383
1-Feb-17,12.45,12.58,12.22,12.32,44396812
31-Jan-17,12.31,12.39,12.19,12.36,46974479
30-Jan-17,12.46,12.46,12.28,12.37,39254173
27-Jan-17,12.48,12.54,12.38,12.49,34613868
26-Jan-17,12.65,12.68,12.35,12.37,55672778
25-Jan-17,12.71,12.80,12.64,12.79,46747840
24-Jan-17,12.35,12.61,12.34,12.61,34625204
23-Jan-17,12.35,12.38,12.22,12.31,31670705
20-Jan-17,12.45,12.48,12.31,12.36,29269964
19-Jan-17,12.40,12.56,12.34,12.43,30135566
18-Jan-17,12.43,12.45,12.30,12.41,33830795
17-Jan-17,12.65,12.73,12.54,12.61,49069459
13-Jan-17,12.62,12.67,12.50,12.63,29197105
12-Jan-17,12.66,12.68,12.35,12.59,36493266
11-Jan-17,12.71,12.72,12.51,12.67,49718725
10-Jan-17,12.70,13.02,12.66,12.85,58703537
9-Jan-17,12.79,12.86,12.63,12.63,39438393
6-Jan-17,12.80,12.84,12.64,12.76,40315887
5-Jan-17,13.21,13.22,12.63,12.77,75628443
4-Jan-17,12.77,13.27,12.74,13.17,77638075
3-Jan-17,12.20,12.60,12.13,12.59,40510821
30-Dec-16,12.24,12.28,12.08,12.13,27405736
29-Dec-16,12.25,12.31,12.22,12.23,19819081
28-Dec-16,12.37,12.45,12.22,12.25,26875381
27-Dec-16,12.43,12.51,12.36,12.39,19467440
23-Dec-16,12.43,12.46,12.36,12.46,15621178
22-Dec-16,12.63,12.64,12.40,12.40,27821071
21-Dec-16,12.73,12.77,12.64,12.64,18117060
20-Dec-16,12.70,12.82,12.68,12.78,17834041
19-Dec-16,12.59,12.80,12.59,12.66,22830013
16-Dec-16,12.66,12.70,12.56,12.63,28354939
15-Dec-16,12.54,12.72,12.52,12.58,23774842
14-Dec-16,12.65,12.79,12.50,12.53,42820123
13-Dec-16,12.84,12.88,12.75,12.77,39570500
12-Dec-16,13.08,13.10,12.81,12.82,39596765
9-Dec-16,13.00,13.20,12.91,13.17,45256112
8-Dec-16,13.07,13.15,12.97,13.03,41459537
7-Dec-16,12.59,13.15,12.54,13.06,58600423
6-Dec-16,12.40,12.59,12.37,12.56,23923916
5-Dec-16,12.31,12.50,12.29,12.44,36219973
2-Dec-16,12.58,12.58,12.15,12.24,38689842
1-Dec-16,12.23,12.80,12.18,12.43,95143559
30-Nov-16,11.97,12.14,11.92,11.96,47646220
29-Nov-16,11.93,12.00,11.87,11.92,23690847
28-Nov-16,12.02,12.05,11.89,11.92,24407192
25-Nov-16,11.95,12.06,11.93,12.04,11439553
23-Nov-16,11.90,12.00,11.85,11.90,22418351
22-Nov-16,11.76,11.91,11.73,11.89,24274734
21-Nov-16,11.77,11.90,11.77,11.79,19508608
18-Nov-16,11.87,11.90,11.73,11.76,30662036
17-Nov-16,11.90,11.96,11.78,11.87,38462341
16-Nov-16,12.00,12.05,11.92,12.00,25195460
15-Nov-16,12.06,12.14,11.95,12.04,31498503
14-Nov-16,12.27,12.50,12.02,12.06,56109928
11-Nov-16,11.88,12.40,11.84,12.28,79259270
10-Nov-16,11.58,11.98,11.58,11.94,52756533
9-Nov-16,11.15,11.63,11.07,11.58,60625748
8-Nov-16,11.50,11.51,11.35,11.48,28497894
7-Nov-16,11.52,11.62,11.39,11.58,25120693
4-Nov-16,11.31,11.50,11.30,11.34,24752417
3-Nov-16,11.39,11.46,11.27,11.35,38651451
2-Nov-16,11.51,11.56,11.36,11.40,36229377
1-Nov-16,11.78,11.84,11.50,11.61,35613573
31-Oct-16,11.75,11.81,11.69,11.74,31898380
28-Oct-16,11.74,11.85,11.62,11.72,37142375
27-Oct-16,11.81,11.83,11.60,11.74,48402031
26-Oct-16,11.80,11.93,11.76,11.88,36219863
25-Oct-16,12.05,12.10,11.76,11.85,42485988
24-Oct-16,12.06,12.20,12.06,12.19,33733614
21-Oct-16,11.93,12.04,11.85,12.02,24364204
20-Oct-16,12.02,12.03,11.90,11.97,18115983
19-Oct-16,11.89,12.05,11.88,12.01,26094001
18-Oct-16,11.92,11.93,11.71,11.89,39911254
17-Oct-16,11.91,12.00,11.88,11.88,19874994
14-Oct-16,11.96,12.00,11.89,11.91,25775674
13-Oct-16,11.91,11.91,11.69,11.91,39904190
12-Oct-16,12.00,12.01,11.94,11.96,20626954
11-Oct-16,12.17,12.17,11.91,11.99,40053504
10-Oct-16,12.35,12.38,12.10,12.12,24951437
7-Oct-16,12.39,12.42,12.20,12.29,22093202
6-Oct-16,12.43,12.50,12.33,12.39,25880883
5-Oct-16,12.22,12.53,12.22,12.48,55529059
4-Oct-16,12.11,12.25,12.09,12.20,23948703
3-Oct-16,12.06,12.15,12.02,12.10,20683081
30-Sep-16,12.00,12.14,11.99,12.07,34903811
29-Sep-16,12.03,12.12,11.95,11.97,23397424
28-Sep-16,12.02,12.09,11.96,12.09,29341515
27-Sep-16,12.02,12.09,11.93,11.98,28965759
26-Sep-16,12.12,12.12,12.00,12.01,26758623
23-Sep-16,12.12,12.22,12.12,12.17,18993510
22-Sep-16,12.17,12.29,12.16,12.18,36136234
21-Sep-16,12.08,12.11,12.01,12.09,32934639
20-Sep-16,12.09,12.19,11.96,12.00,37820775
19-Sep-16,12.12,12.33,12.06,12.11,41175453
16-Sep-16,12.05,12.13,12.01,12.11,26271568
15-Sep-16,12.14,12.18,12.06,12.11,57373928
14-Sep-16,12.18,12.31,12.11,12.14,62450611
13-Sep-16,12.53,12.68,12.33,12.38,56549095
12-Sep-16,12.32,12.77,12.28,12.70,42690174
9-Sep-16,12.61,12.68,12.38,12.38,35733644
8-Sep-16,12.50,12.75,12.50,12.73,34017856
7-Sep-16,12.62,12.75,12.62,12.70,22879114
6-Sep-16,12.49,12.67,12.43,12.67,36098940
2-Sep-16,12.53,12.57,12.46,12.50,21025125
1-Sep-16,12.66,12.72,12.35,12.44,40510406
31-Aug-16,12.48,12.61,12.48,12.60,26030649
30-Aug-16,12.46,12.56,12.43,12.55,26040411
